Station Name,County,lon_X,lat_Y,sta_ID,River Basin,Elev_ft,Operator,ppt_type
CIRCLE X RANCH,VENTURA,-118.936,34.109,CXR,VENTURA R,1700,Ventura County,16E
DAVENPORT,SANTA CRUZ,-122.1917,37.0197,DAP,SANTA CRUZ CO COAST,200,Santa Cruz County,16E
DUBLIN-SAN RAMON FIRE HOUSE,CONTRA COSTA,-121.927,37.732,DBF,EAST BAY,355,Contra Costa County,16E
MOUNT DIABLO PEAK,CONTRA COSTA,-121.918,37.88,DBL,EAST BAY,3690,Contra Costa County,16E
DRY CREEK NEAR COULTERVILLE,MARIPOSA,-120.312,37.654,DCC,MERCED R,728,Merced Irrigation District,16E
DIDDY WELLS,SHASTA,-122.1,40.7,DDW,SACTO VLY NE,1300,US Bureau of Reclamation,16E
DEER CREEK DAM,SAN BERNARDINO,-117.502,34.169,DEC,LYTLE CR,2320,None Specified,16E
DOWNIEVILLE,SIERRA,-120.8292,39.5586,DNV,YUBA R,2920,CA Dept of Water Resources,16E
DRUM POWER HOUSE,PLACER,-120.767,39.264,DPH,BEAR R,3400,Pacific Gas & Electric,16E
DEER CK FOREBAY (PG&E),NEVADA,-120.825,39.3,DRC,YUBA R,4455,Pacific Gas & Electric,16E
SMITH RIVER AT DR FINE BRIDGE,DEL NORTE,-124.133,41.883,DRF,SMITH R,63,USGS and DWR,16E
DRY CREEK NR SNELLING,MERCED,-120.463,37.555,DSN,MERCED R,230,Merced Irrigation District,16E
DANVILLE LIBRARY,CONTRA COSTA,-121.9956,37.8208,DVB,SF BAY,364,Contra Costa County,16E
DAVIS RANCH,TEHAMA,-122.45,40.35,DVR,COTTONWOOD CR,550,US Bureau of Reclamation,16E
DAY CANYON,SAN BERNARDINO,-117.537,34.168,DYC,LYTLE CR,2240,None Specified,16E
EL CAPITAN RESERVOIR,SAN DIEGO,-116.807,32.882,ECR,SAN DIEGO R,800,San Diego County,16E
COSUMNES RIVER AT EAGLES NEST ROAD,SACRAMENTO,-121.26,38.485,EGN,COSUMNES R,100,Sacramento County,16E
EUREKA CANYON (CORRALITOS 6NW),SANTA CRUZ,-121.803,37.036,EKN,PAJARO R,1700,Santa Cruz County,16E
ELK VALLEY,DEL NORTE,-123.718,41.988,ELK,SMITH R,1705,CA Dept of Water Resources,16E
ESTRELLA RIVER NEAR ESTRELLA,SAN LUIS OBISPO,-120.639,35.717,EST,SALINAS R,672,USGS and DWR,16E
NEW EXCHEQUER-LK MCCLURE,MARIPOSA,-120.27,37.585,EXC,MERCED R,879,Merced Irrigation District,16E
FLOOD CONTROL HQ - CONTRA COSTA CO,CONTRA COSTA,-122.085,37.988,FCD,SAN JOAQUIN R,160,Contra Costa County,16E
FIGUEROA MOUNTAIN,SANTA BARBARA,-120.0072,34.7514,FGR,SANTA YNEZ R,3200,Santa Barbara County,16E
FOLSOM DAM,SACRAMENTO,-121.167,38.7,FLD,AMERICAN R,350,National Weather Service,16E
FLINN SPRINGS,SAN DIEGO,-116.864,32.846,FLS,SAN DIEGO R,880,San Diego County,16E
KERN POWER HOUSE INTAKE,KERN,-118.47686,35.9458,FPI,KERN R,3654,Southern California Edison Company,16E
FROG SPRINGS,KERN,-118.189,35.508,FRG,KERN R,4000,Kern County,16E
FORNI RIDGE,EL DORADO,-120.213,38.805,FRN,AMERICAN R,7600,US Bureau of Reclamation,16E
FRIANT DAM,FRESNO,-119.692,36.995,FRT,SAN JOAQUIN R,578,US Bureau of Reclamation,16E
SAN DIEGO RIVER AT FASHION VALLEY,SAN DIEGO,-117.1686478,32.76504898,FSN,SAN DIEGO R,30,San Diego County,16E
EEL RIVER AT FORT SEWARD,HUMBOLDT,-123.6325302,40.21820068,FSW,EEL R,320,USGS and DWR,16E
GASQUET RANGER STATION,DEL NORTE,-123.967,41.85,GAS,SMITH R,384,CA Dept of Water Resources,16E
GLORIA GRADE,MONTEREY,-121.277,36.532,GGR,SALINAS R,1960,Monterey County,16E
GIBSON,SHASTA,-122.3992,41.0225,GIB,SACRAMENTO R,1633,CA Dept of Water Resources,16E
GREEK STORE,PLACER,-120.558,39.075,GKS,AMERICAN R,5600,US Bureau of Reclamation,16E
GLEN HELEN REGIONAL PARK,SAN BERNARDINO,-117.405,34.209,GLH,LYTLE CR,2040,None Specified,16E
GILMORE RANCH,SAN JOAQUIN,-120.987,38.045,GLR,CALAVERAS R,220,San Joaquin County,16E
GIANELLI MEADOW,TUOLUMNE,-119.892,38.205,GNL,STANISLAUS R,8400,US Bureau of Reclamation,16E
GIRARD,SHASTA,-122.283,41.133,GRD,SACRAMENTO R,4800,US Bureau of Reclamation,16E
GREENVILLE,PLUMAS,-120.9412,40.1394,GRE,FEATHER R,3560,CA Dept of Water Resources,16E
GRANITE HILLS,SAN DIEGO,-116.917,32.799,GRH,SAN DIEGO R,533,San Diego County,16E
GREEN MOUNTAIN,MADERA,-119.238,37.555,GRM,SAN JOAQUIN R,7900,US Bureau of Reclamation,16E
GRAVEYARD MEADOW,MADERA,-119.29,37.465,GRV,SAN JOAQUIN R,6900,US Bureau of Reclamation,16E
GOAT MOUNTAIN,MADERA,-119.543,37.27,GTM,SAN JOAQUIN R,4520,US Bureau of Reclamation,16E
GEORGETOWN (USBR),EL DORADO,-120.789,38.925,GTW,AMERICAN R,3250,US Bureau of Reclamation,16E
GRASS VALLEY,NEVADA,-121.0672,39.2056,GVY,YUBA R,2400,CA Dept of Water Resources,16E
HAMILTON BRANCH,PLUMAS,-121.0914,40.2725,HAM,FEATHER R,4560,CA Dept of Water Resources,16E
HOADLEY,SHASTA,-122.75,40.683,HDL,TRINITY R,4580,US Bureau of Reclamation,16E
HILLCREST,SHASTA,-121.883,40.867,HLC,PIT R,3440,US Bureau of Reclamation,16E
HIGHLAND PEAK,CONTRA COSTA,-121.8084,37.8145,HLD,DELTA,2520,Contra Costa County,16E
HUNTINGTON LAKE (USBR),FRESNO,-119.221,37.228,HNT,SAN JOAQUIN R,7000,US Bureau of Reclamation,16E
HONEYDEW,HUMBOLDT,-124.148,40.23,HNY,MATTOLE R,370,CA Dept of Water Resources,16E
TRINITY RIVER AT HOOPA,HUMBOLDT,-123.6736679,41.04985046,HPA,TRINITY R,330,USGS and DWR,16E
HIRZ,SHASTA,-122.25,40.9,HRZ,SACRAMENTO R,3200,US Bureau of Reclamation,16E
HUYSINK,PLACER,-120.527,39.282,HYS,AMERICAN R,6600,US Bureau of Reclamation,16E
INDIAN CREEK,KERN,-118.411,35.282,ICK,CALIENTE CR,2790,Kern County,16E
IDRIA,FRESNO,-120.6713889,36.4161,IDR,SAN BENITO R,2400,CA Dept of Water Resources/O & M,16E
IRONHOUSE SANITARY DISTRICT,CONTRA COSTA,-121.7094,38.0013,ISD,SAN JOAQUIN R,6,Contra Costa County,16E
JOHN'S PLACE,NEVADA,-120.98,39.2165,JPD,YUBA R,2850,CA Dept of Water Resources,16E
KEARNY MESA,SAN DIEGO,-117.125,32.813,KEA,SAN DIEGO R,455,San Diego County,16E
KELLOGG CREEK NEAR BYRON,CONTRA COSTA,-121.695,37.255,KEL,EAST BAY,183,Contra Costa County,16E
KREGOR PEAK,CONTRA COSTA,-121.89,37.943,KGR,EAST BAY,1894,Contra Costa County,16E
KERN POWER HOUSE INTAKE,KERN,-118.47686,35.9458,KPI,KERN R,3654,Southern California Edison Company,16E
KAISER POINT,FRESNO,-119.1,37.3,KSP,SAN JOAQUIN R,9200,US Bureau of Reclamation,16E
KESWICK (WATER QUALITY),SHASTA,-122.444458,40.60098267,KWK,SACRAMENTO R,596,CA Dept of Water Resources,16E
LOS BANOS DAM,MERCED,-120.93,36.994,LBS,SAN JOAQUIN R,350,CA Dept of Water Resources,16E
LOS COCHES CREEK,SAN DIEGO,-116.902,32.836,LCK,SAN DIEGO R,560,San Diego County,16E
LAS CUMBRES,SANTA CRUZ,-122.063,37.208,LCM,SAN LORENZO R,2760,Santa Cruz County,16E
LINDA CREEK AT CHAMPION OAKS,PLACER,-121.247,38.727,LCO,AMERICAN R,140,Placer County,16E
SOUTH FORK EEL RIVER AT LEGGETT,MENDOCINO,-123.7205811,39.87459564,LEG,EEL R,747,USGS and DWR,16E
LIME KILN CANYON,KERN,-118.448,35.09,LKC,CALIENTE CR,4790,Kern County,16E
LAKESHORE,SHASTA,-122.383,40.867,LKS,SACRAMENTO R,1100,US Bureau of Reclamation,16E
LOOMIS OBSERVATORY,PLACER,-121.113,38.815,LMO,AMERICAN R,733,City of Roseville,16E
LA MESA,SAN DIEGO,-117.024,32.766,LMS,SAN DIEGO R,530,San Diego County,16E
LAPACHET RANCH,SAN JOAQUIN,-120.976,38.032,LPC,CALAVERAS R,260,San Joaquin County,16E
LOS MEDONOS,CONTRA COSTA,-121.8564,37.9973,LSM,SF BAY,130,Contra Costa County,16E
LOS OSOS,SAN LUIS OBISPO,-120.801,35.322,LSO,COAST-MORRO BAY,130,National Weather Service,16E
LAKE SPAULDING (PG&E),NEVADA,-120.633,39.317,LSP,YUBA R,5156,Pacific Gas & Electric,16E
LIVE OAK CANYON - LIVE OAK DAM,LOS ANGELES,-117.744,34.134,LVO,LOS ANGELES R,1510,Los Angeles County,16E
MARSH CREEK RESERVOIR,CONTRA COSTA,-121.725,37.89,MAC,EAST BAY,205,Contra Costa County,16E
MAHOGANY,KERN,-118.219,36.03,MAH,KERN R,7530,Kern County,16E
MERCED RIVER NEAR BRICEBURG,MARIPOSA,-119.9781,37.5989,MBB,MERCED R,1150,Merced Irrigation District,16E
MCINTIRE ROAD,SAN JOAQUIN,-121.038,38.22,MCI,MOKELUMNE R,180,San Joaquin County,16E
MT DIABLO PARK HEADQUARTERS,CONTRA COSTA,-121.9317,37.8503,MDH,DELTA,1600,Contra Costa County,16E
MENDEZ RANCH,STANISLAUS,-120.924,38.062,MDZ,CALAVERAS R,322,San Joaquin County,16E
MARSH CREEK FIRE DEPARTMENT,CONTRA COSTA,-121.865,37.893,MFD,SAN JOAQUIN R,680,Contra Costa County,16E
MAMMOTH PASS (USBR),MONO,-119.033,37.61,MHP,OWENS R,9300,US Bureau of Reclamation,16E
MINERAL,TEHAMA,-121.609,40.348,MIN,SACTO VLY NE,4957,CA Dept of Water Resources,16E
SACTO R AT MOULTON WEIR (CREST 76.8'),COLUSA,-122.0226288,39.33821106,MLW,SACRAMENTO R,85,CA Dept of Water Resources,16E
MOUNT MADONNA,SANTA CLARA,-121.702,37.011,MMD,SAN BENITO R,1822,Santa Clara County,16E
MINING RIDGE,MONTEREY,-121.496,36.081,MNG,MONTEREY COAST,4710,Monterey County,16E
MONTCLAIR,SAN BERNARDINO,-117.682,34.094,MOC,SAN ANTONIO CR (SOUTH COAST),1208,None Specified,16E
EEL RIVER SF NR MIRANDA (AT SYLVANDALE),HUMBOLDT,-123.7761459,40.18180847,MRD,EEL R,218,USGS and DWR,16E
MARSH CREEK FIRE,CONTRA COSTA,-121.8635,37.8949,MRH,SF BAY,740,Contra Costa County,16E
MISSION PEAK,ALAMEDA,-121.883,37.517,MSP,ALAMEDA CR,1580,National Weather Service,16E
MUSTANG RIDGE,MONTEREY,-120.759,36.193,MTG,SALINAS R,2700,Monterey County,16E
MOUNT SHASTA,SISKIYOU,-122.316,41.313,MTS,SACRAMENTO R,3545,CA Dept of Water Resources,16E
MUD SPRINGS,TRINITY,-123.283,40.717,MUD,TRINITY R,3400,CA Dept of Water Resources,16E
NEWCASTLE-PINEVIEW SCHOOL,PLACER,-121.135,38.874,NCS,AMERICAN R,890,City of Roseville,16E
NEW MELONES,CALAVERAS,-120.525,37.948,NMS,STANISLAUS R,1400,US Bureau of Reclamation,16E
NORDHOFF RIDGE,VENTURA,-119.23,34.51,NRD,VENTURA R,4100,Ventura County,16E
NATURE POINT,MADERA,-119.36,37.342,NTP,SAN JOAQUIN R,5150,US Bureau of Reclamation,16E
NOVATO CREEK,MARIN,-122.564,38.085,NVC,SF BAY,125,Marin County,16E
OREJANO CANYON,KERN,-118.567,35.258,OCN,CALIENTE CR,2560,Kern County,16E
ORINDA FIRE STATION 3,CONTRA COSTA,-122.17,37.895,ODA,EAST BAY,700,Contra Costa County,16E
OGO RANGER STATION,SHASTA,-122.737,40.423,OGO,COTTONWOOD CR,1300,CA Dept of Water Resources,16E
OUR HOUSE DAM,YUBA,-120.9964,39.412,OHD,YUBA R,1960,CA Dept of Water Resources,16E
OIL CANYON,KERN,-118.586,35.332,OIL,CALIENTE CR,2690,Kern County,16E
KLAMATH RIVER AT ORLEANS,HUMBOLDT,-123.5345001,41.30345917,OLS,KLAMATH R,430,USGS and DWR,16E
OLIVE SPRINGS QUARRY,SANTA CRUZ,-121.925,37.063,OLV,SAN LORENZO R,480,Santa Cruz County,16E
REDWOOD CREEK AT ORICK,HUMBOLDT,-124.0511856,41.2992897,ORK,REDWOOD CR,36,USGS and DWR,16E
ORMSBY ROAD,SANTA CRUZ,-121.824,37.0669,ORR,SAN LORENZO R,2302,Santa Cruz County,16E
PALO ALTO 3E,SANTA CLARA,-122.107,37.439,PAA,SF BAY,7,Santa Clara County,16E
SALINAS RIVER AT PASO ROBLES,SAN LUIS OBISPO,-120.6843338,35.628582,PAS,SALINAS R,700,USGS and DWR,16E
PECKINPAH,MADERA,-119.458,37.25,PCK,SAN JOAQUIN R,5150,US Bureau of Reclamation,16E
WALNUT CREEK AT PUDDINGSTONE DAM,LOS ANGELES,-117.807,34.092,PDD,SAN GABRIEL R,1030,None Specified,16E
PARADISE,BUTTE,-121.6247,39.7536,PDE,FEATHER R,1750,CA Dept of Water Resources,16E
PACIFIC HOUSE,EL DORADO,-120.5,38.76,PFH,AMERICAN R,3440,US Bureau of Reclamation,16E
MCPHAILS PEAK,SAN BENITO,-121.3664,36.6567,PHA,SAN BENITO R,3353,National Weather Service,16E
PINE GROVE,AMADOR,-120.633,38.4,PIN,MOKELUMNE R,2440,CA Dept of Water Resources,16E
PACK SPRING,KERN,-118.277,35.613,PKS,KERN R,3170,Kern County,16E
PLEASANT VALLEY,SANTA CRUZ,-121.8306,36.9897,PLV,PAJARO R,360,Santa Cruz County,16E
PONCIANO RIDGE,MONTEREY,-121.723,36.4,PNR,CARMEL R,2610,Monterey County,16E
PIUTE PEAK,KERN,-118.409,35.427,PPK,CALIENTE CR,6650,Kern County,16E
POISON RIDGE,MADERA,-119.52,37.403,PSR,SAN JOAQUIN R,6900,US Bureau of Reclamation,16E
PETALUMA RIVER AT D STREET BRIDGE,SONOMA,-122.635,38.233,PTB,PETALUMA R,10,City of Petaluma,16E
SAN DIMAS CK AT PUDDINGSTON DIVERSN,LOS ANGELES,-117.782,34.121,PUD,SAN GABRIEL R,1130,None Specified,16E
PINYON CREEK,KERN,-118.143,35.558,PYC,KERN R,4930,Kern County,16E
ROBIDART RANCH,SAN JOAQUIN,-121.031,38.137,RBR,CALAVERAS R,315,San Joaquin County,16E
REDDING FIRE STATION,SHASTA,-122.4193,40.5736,RFS,SACTO VLY NE,740,US Bureau of Reclamation,16E
RICHMOND CITY HALL,CONTRA COSTA,-122.3427,37.9369,RHL,SF BAY,55,Contra Costa County,16E
RICK'S HOUSE TEST SITE,SACRAMENTO,-121.4097,38.6038,RHS,AMERICAN R,47,CA Dept of Water Resources,16E
ROCK HOUSE,KERN,-118.197,35.889,RKH,KERN R,5760,Kern County,16E
ROCKY RIDGE,CONTRA COSTA,-122.062,37.817,RKY,EAST BAY,2020,Contra Costa County,16E
RANCHO CORDOVA,SACRAMENTO,-121.311,38.604,RNC,AMERICAN R,72,Sacramento County,16E
RODEO FIRE DEPARTMENT,CONTRA COSTA,-122.27,38.035,ROF,EAST BAY,30,Contra Costa County,16E
RODDY RANCH GOLF CLUB,CONTRA COSTA,-121.785652,37.990318,RRG,EAST BAY,403,Contra Costa County,16E
ROSSMOOR,CONTRA COSTA,-122.0644,37.8706,RSS,EAST BAY,146,Contra Costa County,16E
RUTH LAKE,HUMBOLDT,-123.372,40.319,RTH,MAD R,2700,CA Dept of Water Resources,16E
ROSEVILLE WATER TREATMENT PLANT,PLACER,-121.226,38.724,RTP,AMERICAN R,380,City of Roseville,16E
ROYER PARK-DRY CREEK,PLACER,-121.28,38.749,RYP,AMERICAN R,140,City of Roseville,16E
SADDLE CAMP,TEHAMA,-122.8,40.167,SAD,COTTONWOOD CR,3850,CA Dept of Water Resources,16E
SANTA BARBARA PORTRERO,SANTA BARBARA,-119.6519,34.77056,SBT,SISQUOC R,5300,Santa Barbara County,16E
SCHULTIES RD,SANTA CRUZ,-121.967,37.133,SCH,SAN LORENZO R,1400,Santa Cruz County,16E
SAN BERNARDINO COUNTY YARD,SAN BERNARDINO,-117.268,34.104,SCY,SANTA ANA R,1042,None Specified,16E
SAND FLAT,SISKIYOU,-122.2464,41.3504,SDF,SACRAMENTO R,6750,US Bureau of Reclamation,16E
SAN RAFAEL CIVIC CENTER,MARIN,-122.537,37.998,SFC,COAST-MARIN,120,Marin County,16E
SANTA FELICIA DAM,VENTURA,-118.749,34.464,SFD,SANTA CLARA R,1078,Ventura County,16E
SOUTH HONCUT CREEK NEAR BANGOR,BUTTE,-121.3717,39.3683,SFH,FEATHER R,630,CA Dept of Water Resources/NCRO,16E
SUGAR PINE,PLACER,-120.75,39.128,SGP,AMERICAN R,3843,US Bureau of Reclamation,16E
ST. HELENA 4WSW,NAPA,-122.533,38.492,SH4,NAPA R,1780,CA Dept of Water Resources,16E
STUD HORSE CANYON,KERN,-118.451,35.289,SHC,CALIENTE CR,2970,Kern County,16E
SHINGLETOWN,SHASTA,-121.85,40.496,SHI,SACTO VLY WEST,3630,CA Dept of Water Resources,16E
SOUTH FORK MOUNTAIN,SHASTA,-122.525,40.657,SHK,SACRAMENTO R,3450,US Bureau of Reclamation,16E
SHASTA DAM (USBR),SHASTA,-122.417,40.717,SHS,SACRAMENTO R,1100,US Bureau of Reclamation,16E
SAN JOSE (ALERT),SANTA CLARA,-121.927,37.362,SJE,LOS GATOS CR (NEAR SAN JOSE),58,Santa Clara County,16E
SAN LEANDRO BAY,ALAMEDA,-122.217,37.7,SLE,SF BAY,10,Alameda County,16E
STANISLAUS MEADOW,ALPINE,-119.9373,38.5055,SLM,STANISLAUS R,7750,US Bureau of Reclamation,16E
SLY PARK,EL DORADO,-120.563,38.718,SLP,COSUMNES R,3530,El Dorado Irrigation District,16E
SLATE CREEK,SHASTA,-122.478,41.045,SLT,SACRAMENTO R,5700,US Bureau of Reclamation,16E
SANTA MARGARITA BOOSTER,SAN LUIS OBISPO,-120.637,35.374,SMB,SALINAS R,1100,CA Dept of Water Resources,16E
ST MARYS COLLEGE,CONTRA COSTA,-122.107,37.842,SMC,EAST BAY,620,Contra Costa County,16E
SOUTH MOUNTAIN EAST,VENTURA,-119.044,34.301,SME,SANTA CLARA R,1020,Ventura County,16E
SACRAMENTO METRO AIRPORT,SACRAMENTO,-121.587,38.686,SMF,SACTO VLY WEST,17,Sacramento County,16E
SAN ANDREAS COTTAGE,SAN MATEO,-122.409,37.579,SNA,SAN MATEO CREEK,464,City of San Francisco,16E
SAN DIMAS DAM,LOS ANGELES,-117.771,34.153,SND,SAN GABRIEL R,1350,None Specified,16E
SNOW MOUNTAIN,SHASTA,-121.782,40.778,SNM,PIT R,5950,US Bureau of Reclamation,16E
SANGUINETTI RANCH,SAN JOAQUIN,-120.981,37.993,SNR,SAN JOAQUIN R,238,San Joaquin County,16E
SANTEE,SAN DIEGO,-117.027,32.841,SNT,SAN DIEGO R,300,San Diego County,16E
