name,Meadow ID,Meadow Name,Meadow Reference,Assessment Date,Assessment Points,Assessment Completed,Organization Affiliation,Elevation_m,Slope,Hydrogeomorphic Type,Land Ownership,Bank Height,Secondary Channel Bank Height,Gullies,Left Bank Stability,Right Bank Stability,Total Bank Stability,Secondary Channel Bank Stability,Vegetation Cover,Bare Ground,Encroachment,Restoration Efforts,Comments on Restoration,Headcut Present,Number of Headcuts,Ponds Present,Aspen Trees Present,Grazing Trails,Stubble,Dung in Channel,Hoof Prints on Banks,Surveyor(s),Trail,Evidence of OHV use,Road,Corral,Building,Vehical Access,Adjacent Culvert,Adjacent Bridge,Adjacent Road,Adjacent Building,Gopher Disturbance,"Willow, Alder, and Aspen Coverage",Fish Observed,Beavers,Latitude,Longitude,Watershed,General Comments
Unnamed Meadow NE of Cheese Camp Creek Assessment,,Unnamed Meadow NE of Cheese Camp Creek,UCDSNM013943,"Saturday, August 16, 2014",,No,American Rivers,2063,8.8,,Eldorado National Forest,,,,,,,,,,,,,,,,,,,,,Julie Fair,,,,,,,,,,,,,,,38.946969,-120.325144,South Fork American,"Greater than 5% slope at top of meadow. Area may be 5% of less slope at the bottom, but the ""meadow"" is less than 15 acres. "
Not Meadow #14 Assessment,,Not Meadow #14,UCDSNM013944,"Saturday, August 16, 2014",,No,American Rivers,2105,0.8,,Eldorado National Forest,,,,,,,,,,,,,,,,,,,,,Julie Fair,,,,,,,,,,,,,,,38.947806,-120.295381,South Fork American,"This is not one meadow, but rather small openings of forest land riparian environment that are not continuous. They do individually share characteristics of the larger meadows we've assessed nearby. "
Not Meadow #1 Assessment,,Not Meadow #1,UCDSNM012772,"Wednesday, July 10, 2013",,No,American Rivers,2754,1.9,,Eldorado National Forest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.674456,-120.020081,South Fork American,"the majority of the area within the polygon is not wet meadow. However, meadow-like area exists to the southeast. Environment does not appear physically degraded."
Pelham Flat Meadow Assessment,,Pelham Flat Meadow,UCDSNM014423,"Monday, May 13, 2013",23,Yes,American Rivers,1940,1.9,,Private,Natural Condition,,Natural Condition,,,Natural Condition,,Slightly Impacted,Natural Condition,Natural Condition,No,No need for restoration. There is a for sale sign - look at parcels. ,No,,,No,No,No,No,No,Julie Fair,No,No,No,No,No,Yes,No,No,Yes,No,3,0.2,No,No,39.266933,-120.537028,North Fork American,Permanent wetlands. Awesome channel! 
Onion Creek Meadow Assessment,,Onion Creek Meadow,UCDSNM014435,"Monday, May 13, 2013",18,Yes,American Rivers,1871,4.3,,Tahoe National Forest,Natural Condition,,Natural Condition,,,Natural Condition,,Heavily Impacted,Heavily Impacted,Natural Condition,No,Snotel NOAA gauge present. This is a drier meadow with a relatively steep slope. ,No,,,Yes,No,No,No,No,Julie Fair,No,No,Yes,No,No,Yes,No,No,Yes,No,29,0,No,No,39.274353,-120.358056,North Fork American,Not considered a meadow based on 5% slope definition. Very small main channel. Not full assessment. 
Six Mile Valley Meadow Assessment,,Six Mile Valley Meadow,UCDSNM014496,"Monday, May 13, 2013",14,Yes,American Rivers,1740,0.2,,State Lands - State Lands Commission,Moderately Impacted,,Heavily Impacted,,,Slightly Impacted,,Slightly Impacted,Natural Condition,Heavily Impacted,No,"Dam upstream, power lines, berm of main channel. Many small conifers that could be removed. ",No,,No,Yes,No,No,No,No,Julie Fair,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,1,0.1,No,No,39.312297,-120.606728,North Fork American,
Willow Creek Meadow Assessment,,Willow Creek Meadow,UCDSNM014299,"Wednesday, August 13, 2014",27,Yes,American Rivers,2101,1.1,,Tahoe National Forest,Slightly Impacted,Slightly Impacted,Natural Condition,,,Natural Condition,Natural Condition,Slightly Impacted,Natural Condition,Moderately Impacted,No,No road. Channel division suspected along transect 1. Most conifer removal could be accomplished with hand tools. ,No,,,Yes,No,No,No,No,Maxwell Odland,No,No,No,,No,No,No,No,No,No,1,0.7,No,No,39.11105,-120.262969,North Fork American,Alder and willow growth is very dense: figures are skewed by lack of good transect options. 
Barker Meadow Assessment,,Barker Meadow,UCDSNM014236,"Monday, July 21, 2014",20,Yes,American Rivers,2211,0.5,,Tahoe National Forest,Slightly Impacted,,Natural Condition,,,Natural Condition,,Slightly Impacted,Slightly Impacted,Moderately Impacted,No,There is road access. ,No,,,,No,No,No,No,Julie Fair,No,No,No,No,No,Yes,No,No,Yes,No,,0.3,Yes,No,39.070206,-120.242572,North Fork American,
North Miller Creek Meadows Assessment,,North Miller Creek Meadows,UCDSNM014207,"Wednesday, July 23, 2014",20,Yes,American Rivers,2396,3.2,,Tahoe National Forest,Natural Condition,,Slightly Impacted,,,Natural Condition,,Moderately Impacted,Natural Condition,Slightly Impacted,No,Access by road. Potential projects are road repair to address channel crossings in lower middle stringer. ,Yes,3,,No,No,No,No,No,Julie Fair,No,Yes,Yes,No,No,Yes,No,No,Yes,No,0,0.7,No,No,39.052422,-120.211814,North Fork American,Southwest stringer is not meadow. Entire meadow is steeper than average. 
Bear Lake Meadow Assessment,,Bear Lake Meadow,UCDSNM014187,"Wednesday, July 23, 2014",24,Yes,American Rivers,2328,3.2,,Tahoe National Forest,Natural Condition,,Natural Condition,,,Natural Condition,,Natural Condition,Natural Condition,Natural Condition,Yes,"Potential check dam near upper transect. Meadow appears healthy and does not need restoration. It is vehicle accessible, which could be a potential for impact. ",No,,No,No,No,No,No,No,Julie Fair,No,Yes,No,No,No,Yes,No,No,Yes,No,0,0.35,No,No,39.048917,-120.223719,North Fork American,Adjacent to Bear Lake. 
Miller Meadow Assessment,,Miller Meadow,UCDSNM014161,"Thursday, July 24, 2014",20,Yes,American Rivers,2164,0.1,,Eldorado National Forest,Slightly Impacted,,Natural Condition,,,Natural Condition,,Moderately Impacted,Natural Condition,Slightly Impacted,No,Reliz Road through north side of meadow has conifer encroachment. The road bed is elevated above the meadow. There is potential for improved decommission and conifer removal.  ,No,,,No,No,No,No,No,Julie Fair,No,Yes,Yes,No,No,No,No,No,Yes,No,1,0.1,Yes,No,39.034739,-120.222456,North Fork American,
Sourdough Hill Meadow Assessment,,Sourdough Hill Meadow,UCDSNM014118,"Thursday, July 24, 2014",17,Yes,American Rivers,2323,14.6,,Eldorado National Forest,Natural Condition,,Natural Condition,,,Natural Condition,,Heavily Impacted,Heavily Impacted,Slightly Impacted,No,Accessible by road. Fire suppression may be leading to conifer encroachment. ,No,,,No,No,No,No,No,Julie Fair,No,No,No,No,No,Yes,No,No,Yes,No,5,0,No,No,39.021367,-120.221453,North Fork American,">5% slope, but still with meadow characteristics, vegetation scores may reflect steep slope. "
Unnamed Meadow at Van Vleck Tells Peak Airport #2 Assessment,,Unnamed Meadow at Van Vleck Tells Peak Airport #2,UCDSNM013972,"Friday, August 15, 2014",21,Yes,American Rivers,2123,1.4,,Eldorado National Forest,Natural Condition,,Slightly Impacted,,,Natural Condition,,Slightly Impacted,Natural Condition,Slightly Impacted,No,Impact to drainage from airstrip may be difficult to address if airstrip is to be reopened. Conifer removal is localized and near road. ,No,,No,No,No,No,No,No,,No,No,No,No,No,Yes,No,No,Yes,No,,0.25,No,No,38.955628,-120.300425,North Fork American,
Poison Hole Meadow Assessment,,Poison Hole Meadow,UCDSNM013961,"Friday, August 15, 2014",29,Yes,American Rivers,2069,1.1,,Eldorado National Forest,Natural Condition,Slightly Impacted,Slightly Impacted,,,Natural Condition,Natural Condition,Natural Condition,Natural Condition,Slightly Impacted,No,"There is road access, and conifers and impacts to channels are localized. ",Yes,1,,No,Yes,No,No,No,,Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,0,0.05,Yes,No,38.951636,-120.307814,North Fork American,
Unnamed Meadow at Van Vleck Tells Peak Airport #1 Assessment,,Unnamed Meadow at Van Vleck Tells Peak Airport #1,UCDSNM013959,"Friday, August 15, 2014",19,Yes,American Rivers,2118,1.2,,Eldorado National Forest,Natural Condition,,Slightly Impacted,,,Natural Condition,,Moderately Impacted,Natural Condition,Moderately Impacted,No,"Airstrip ""barrier"" is the only impact other than conifer encroachment. Road access is available. Alternatives to the airstrip may be few. There is a ditch parallel to the airstrip which is likely man-made. ",No,,No,No,No,No,No,No,,No,No,No,No,No,Yes,No,No,Yes,No,1,0.1,No,No,38.951153,-120.296506,South Fork American,
Unnamed Meadow N of Highland Trail Assessment,,Unnamed Meadow N of Highland Trail,UCDSNM013956,"Sunday, August 17, 2014",20,Yes,American Rivers,2125,0.7,,Eldorado National Forest,Natural Condition,,Natural Condition,,,Natural Condition,,Moderately Impacted,Natural Condition,Moderately Impacted,No,"There is a trail (old road) crossing that has localized disturbance, probably man-made. This meadow is easily accessible. The conifers are large, but grouped. ",No,,,Yes,No,No,No,No,,Yes,No,Yes,No,No,Yes,No,No,Yes,No,,0.8,No,No,38.951739,-120.287222,South Fork American,
Van Vleck Ranch Meadow Assessment,,Van Vleck Ranch Meadow,UCDSNM013925,"Saturday, August 16, 2014",26,Yes,American Rivers,1998,1.4,,Eldorado National Forest,Slightly Impacted,Slightly Impacted,Slightly Impacted,,,Natural Condition,Natural Condition,Slightly Impacted,Natural Condition,Moderately Impacted,Yes,"There may be a weir. There is road access, the conifers are small, and impacts are localized. ",Yes,3,,No,Yes,No,No,No,,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,,,No,No,38.933378,-120.325803,South Fork American,
Lake Doris Meadow Assessment,,Lake Doris Meadow,UCDSNM013807,"Friday, August 22, 2014",17,Yes,American Rivers,2561,4.5,,Eldorado National Forest,Slightly Impacted,,Slightly Impacted,,,Natural Condition,,Moderately Impacted,Moderately Impacted,Slightly Impacted,No,Access with machinery. Stream appears deeply incised near Transect 3. ,Yes,1,No,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,1,0.05,No,No,38.905044,-120.194203,North Fork American,
China Flat Meadow Assessment,,China Flat Meadow,UCDSNM013804,"Friday, August 22, 2014",22,Yes,American Rivers,2291,0.1,,Eldorado National Forest,Slightly Impacted,,Natural Condition,,,Natural Condition,,Natural Condition,Natural Condition,Slightly Impacted,No,Access into wilderness area (Desolation Wilderness). ,No,,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,0,0.15,No,Yes,38.904319,-120.175359,North Fork American,"Willow cover was low density and individual bushes were small. The beaver used bank lodges and conifer dams atop bedrock, probably due to lack of sizeable willow, etc. "
Sayles Canyon Meadow Assessment,,Sayles Canyon Meadow,UCDSNM013048,"Friday, August 1, 2014",22,Yes,American Rivers,2678,1.6,,Eldorado National Forest,Moderately Impacted,Slightly Impacted,Moderately Impacted,,,Slightly Impacted,Moderately Impacted,Natural Condition,Slightly Impacted,Slightly Impacted,No,No access road. Head cut stabilization is possible with local materials. A great deal of erosion is evident in the channel network. ,Yes,,,No,No,No,No,No,,No,Yes,No,No,No,,No,No,No,No,0,0.05,No,No,38.755656,-120.056867,South Fork American,"Dung present in meadow, not channel. "
Wright's Lake Meadow  Assessment,,Wright's Lake Meadow ,UCDSNM013583,"Saturday, August 23, 2014",20,Yes,American Rivers,2123,0.2,,Eldorado National Forest,Heavily Impacted,,Natural Condition,,,Natural Condition,,Natural Condition,Natural Condition,Slightly Impacted,No,Access: possible trail work needed to check erosion silting and runoff in this high-use area. Removal of conifers aided by proximity to trails and roads. ,No,,No,No,No,No,No,No,,Yes,No,No,No,No,Yes,No,Yes,Yes,No,0,0.04,No,No,38.852631,-120.226239,South Fork American,"The meadow is saturated. The deep channel (> 4 feet) is full to the bank top throughout the meadow. The water depth is determined by Weight's Lake, which has an artifical surface level because of the damming of it. "
Bryan Meadow Assessment,,Bryan Meadow,UCDSNM013148,"Tuesday, September 30, 2014",29,Yes,American Rivers,2583,1.4,,Eldorado National Forest,Natural Condition,Natural Condition,Natural Condition,,,Natural Condition,Natural Condition,Natural Condition,Slightly Impacted,Moderately Impacted,No,Some minor conifer removal is needed in lower meadow. Most of these trees are small and can be taken out with hand saw. ,No,,,No,No,No,No,No,,Yes,No,No,No,No,No,No,No,No,No,0,0.1,No,No,38.780778,-120.056497,South Fork American,
Round Meadow Assessment,,Round Meadow,UCDSNM013091,"Tuesday, September 30, 2014",29,Yes,American Rivers,2427,0.2,,Eldorado National Forest,Slightly Impacted,Natural Condition,Natural Condition,,,Natural Condition,Natural Condition,Slightly Impacted,Natural Condition,Slightly Impacted,Yes,Need to remove conifers by access from the PCT trailhead (~11 miles round trip). ,No,,,No,No,No,No,No,,Yes,No,No,No,No,,No,No,No,No,0,0.04,No,No,38.767861,-120.067522,South Fork American,"There is one spool of barbed wire in the upper meadow, and also a fire ring. There is a trail present within 200 yards of the meadow. "
Long Canyon Meadow Assessment,,Long Canyon Meadow,UCDSNM012994,"Tuesday, May 21, 2013",17,Yes,American Rivers,2241,4.8,,Eldorado National Forest,Natural Condition,,Natural Condition,,,Natural Condition,,Heavily Impacted,Heavily Impacted,Slightly Impacted,No,,No,,,Yes,No,No,No,No,Julie Fair,No,No,Yes,No,No,Yes,Yes,No,Yes,No,3,0.1,No,No,38.748122,-120.169911,South Fork American,"Culvert in upstream end, effect unclear due to slope of meadow. The upland area has dry vegetation, but there is no observed incision in the channel. "
Cody Meadow Assessment,,Cody Meadow,UCDSNM012992,"Wednesday, May 22, 2013",21,Yes,American Rivers,2331,1.6,,Eldorado National Forest,Slightly Impacted,Moderately Impacted,Slightly Impacted,,,Slightly Impacted,Moderately Impacted,Slightly Impacted,Moderately Impacted,Slightly Impacted,No,Head cutting associated with culvert. Addressing culvert would have significant benefits. ,Yes,3,,No,No,No,No,No,Julie Fair,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,5,0.15,Yes,No,38.741644,-120.133108,South Fork American,Difficult road to access. Possible grazing impacts. 
Unnamed Meadow West of Cody Meadow Assessment,,Unnamed Meadow West of Cody Meadow,UCDSNM012986,"Wednesday, May 22, 2013",16,Yes,American Rivers,2356,4.2,,Eldorado National Forest,Natural Condition,,Slightly Impacted,,,Slightly Impacted,,Moderately Impacted,Heavily Impacted,Slightly Impacted,No,Interaction between meadows 23 and 25 (Cody Meadow) needs to be determined; impacts not huge. ,Yes,1,,No,No,No,No,No,Julie Fair,No,No,No,No,No,No,No,No,Yes,No,11,0.04,No,No,38.748442,-120.138392,South Fork American,
Schneider Camp Meadow Assessment,,Schneider Camp Meadow,UCDSNM012917,"Wednesday, July 2, 2014",27,Yes,American Rivers,2600,4.3,,Eldorado National Forest,Natural Condition,Natural Condition,Slightly Impacted,,,Natural Condition,Natural Condition,Slightly Impacted,Moderately Impacted,Slightly Impacted,No,,No,,,No,No,No,No,No,,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,0,0.2,No,No,38.730189,-120.040983,South Fork American,The most notable impact is adjacent to the OHV trail/road. 
Kirkwood Creek Meadow #2 Assessment,,Kirkwood Creek Meadow #2,UCDSNM012871,"Wednesday, October 1, 2014",15,Yes,American Rivers,2316,0,,Eldorado National Forest,Heavily Impacted,,Slightly Impacted,,,Moderately Impacted,,Slightly Impacted,Slightly Impacted,Slightly Impacted,No,,No,,,Yes,Yes,No,Yes,Yes,,Yes,No,No,No,No,No,No,No,No,No,6,0.04,Yes,Yes,38.710564,-120.068286,South Fork American,Evidence of beavers throughout older downstream and current upstream. Witnessed livestock during assessment. Good access through trail system. Close to highway. Impacts may be resolved by limiting access to stream bank. Aiding beaver through bank and channel stabilization is a possibility. 
Kirkwood Creek Meadow #1 Assessment,,Kirkwood Creek Meadow #1,UCDSNM012776,"Thursday, July 3, 2014",25,Yes,American Rivers,2503,2.9,,Eldorado National Forest,Slightly Impacted,Natural Condition,Natural Condition,,,Natural Condition,Natural Condition,Heavily Impacted,Moderately Impacted,Slightly Impacted,No,,No,,,No,No,No,No,No,,Yes,No,No,No,No,Yes,No,No,Yes,No,0,0.75,No,No,38.675186,-120.056792,South Fork American,Human impacts: ski area. Impacts are localized. Road access and possibility of restoration: possible removal of conifers trail maintenance to limit erosion. 
Unnamed Meadow NW of Round Top Lake Assessment,,Unnamed Meadow NW of Round Top Lake,UCDSNM012767,"Wednesday, July 10, 2013",20,Yes,American Rivers,2777,3.8,,Eldorado National Forest,Natural Condition,,Natural Condition,,,Natural Condition,,Slightly Impacted,Moderately Impacted,Slightly Impacted,No,,No,,,No,No,No,No,No,,No,No,No,No,No,No,No,No,No,No,0,0.35,No,No,38.671458,-120.019603,South Fork American,
Unnamed Meadow W of Martell Flat Assessment,,Unnamed Meadow W of Martell Flat,UCDSNM012624,"Monday, September 1, 2014",24,Yes,American Rivers,2716,2.7,,Eldorado National Forest,Slightly Impacted,Natural Condition,Slightly Impacted,,,Moderately Impacted,Slightly Impacted,Slightly Impacted,Natural Condition,Moderately Impacted,No,,Yes,3,No,No,Yes,Yes,Yes,Yes,,No,Yes,Yes,No,No,Yes,No,No,Yes,No,2,0.04,No,No,38.626458,-120.071839,South Fork American,"Secondary channel drains to Mokelumne Basin waters. 
Impacts dispersed. Erosion minimal, but livestock can cause further localized impacts. Road access is an asset and perhaps a liability. 
Headcuts:
1. HC1: Channel network eroding potential here; this area is most evidently grazed.
2. HC2: This is at an extreme topographic change in gradient. Large stones and and wood create in-channel grade control.
3. HC3: Most extreme example of erosion and deposition. May only migrate several more yards because it is near the top of the drainage, and will likely deepen. "
Unnamed Meadow NE of Porthole Gap Assessment,,Unnamed Meadow NE of Porthole Gap,UCDSNM012619,"Wednesday, July 10, 2013",22,Yes,American Rivers,2316,0.7,,Eldorado National Forest,Moderately Impacted,Slightly Impacted,Slightly Impacted,,,Slightly Impacted,Slightly Impacted,Moderately Impacted,Slightly Impacted,Slightly Impacted,No,,Yes,1,,No,No,No,No,No,,No,Yes,Yes,No,No,Yes,No,No,No,No,2,0,No,No,38.626083,-120.129864,South Fork American,"Impacts dispursed, no road access. Impacts perhaps mitigated without equipment using local coarse woody debris"
Lower Stephens Meadow Assessment,,Lower Stephens Meadow,UCDSNM016235,"Tuesday, April 21, 2015",25,Yes,American Rivers,1898,0,,Private,Natural Condition,Natural Condition,Slightly Impacted,,,Natural Condition,Natural Condition,Slightly Impacted,Natural Condition,Slightly Impacted,No,Lassen Land and Trails Trust will be doing a conifer removal to get rid of encroaching trees. ,Yes,1,No,Yes,Yes,No,Yes,Yes,,No,No,No,No,No,Yes,Yes,Yes,Yes,Yes,0,0.02,Yes,No,40.53552,-121.14262,Pine Creek,Lassen Land and Trails Trust plans to remove conifers and pile some in the cow trails that are causing the headcut.
Upper Stephens Meadow Assessment,,Upper Stephens Meadow,UCDSNM016204,"Tuesday, April 21, 2015",23,Yes,American Rivers,1917,0,,Private,Natural Condition,,Natural Condition,,,Natural Condition,,Natural Condition,Natural Condition,Slightly Impacted,No,,No,,No,No,Yes,Yes,Yes,Yes,,No,No,No,No,No,Yes,No,No,Yes,No,0,0,No,No,40.52664,-121.14338,Pine Creek,Possible headcut at the top of the meadow from cows compacting the soil. Minor conifer encroachment at the top of the meadow. More than half of the meadow was under up to 6 inches of water. 
Logan Springs Meadow Assessment,,Logan Springs Meadow,UCDSNM016343,"Wednesday, March 25, 2015",19,Yes,American Rivers,1689,0,,Lassen National Forest,Slightly Impacted,,Moderately Impacted,,,Slightly Impacted,,Natural Condition,Natural Condition,Slightly Impacted,Yes,Meadow enclosure fencing,No,,No,Yes,Yes,No,Yes,No,,Yes,No,Yes,No,No,Yes,No,No,Yes,No,7,0.01,No,No,40.65773,-120.97639,Pine Creek,There is what looks like an old road or railroad grade the goes across Pine Creek and through the meadow. There also appears to be a silted in pond or watering hole with a small dam. The main stream is filled with lots of sediment.
Burgess Meadow Assessment,,Burgess Meadow,UCDSNM016431,"Thursday, March 26, 2015",20,Yes,American Rivers,1690,0,,Lassen National Forest,Natural Condition,,Heavily Impacted,,,Natural Condition,,Natural Condition,Slightly Impacted,Natural Condition,Yes,Check dams in bulldozed channel,No,,Yes,No,Yes,No,Yes,Yes,,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,6,0,No,No,40.68638,-121.02952,Pine Creek,Large meadow mostly dry. Long ditch going through most of the meadow. Spring at top had some flow but dried out. Ditch had some flow as well but also dried out. Ditch ran down to large stock pond. A lot of the meadow is fenced off.
McCoy Flat Assessment,,McCoy Flat,UCDSNM016379,"Wednesday, March 25, 2015",15,Yes,American Rivers,1643,0,,Lassen National Forest,,,Moderately Impacted,,,,,Natural Condition,Natural Condition,Natural Condition,No,,Yes,1,No,Yes,Yes,Yes,Yes,Yes,,Yes,No,Yes,No,No,Yes,No,No,Yes,No,4,0,No,Yes,40.67922,-120.85339,Pine Creek,"The meadow has no channel. There are low depressional areas that have signs of water and different veg type from the sage dominated higher areas. There is a headcut close to where the meadow connected to Pine Creek. The headcut is unstable and about 2 feet high and 12 feet wide. There is sand deposited in the area below the headcut. The headcut threatens most of the meadow up from it. It would be simple to fix. There are some aspens in the area that have been fenced to prevent beaver damage. Pine Creek through McCoy is incised. An inset floodplain with series of vegetated bars is established and has silt and debris deposited on top. Ripple marks suggest deposition was this year. Sandhill cranes foraging in sagebrush. This score is for the meadow area to the west and south. One could say there is a meadow in the Pine Creek channel, but to us it seems to be vegetated banks and bars. "
McKenzie Cow Camp Meadow Assessment,,McKenzie Cow Camp Meadow,UCDSNM016283,"Wednesday, March 25, 2015",30,Yes,American Rivers,1725,0,Riparian low gradient,Lassen National Forest,Natural Condition,Natural Condition,Slightly Impacted,,,Natural Condition,Natural Condition,Natural Condition,Natural Condition,Slightly Impacted,No,,No,,No,Yes,Yes,No,Yes,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,3,0.05,No,Yes,40.57634,-121.09297,Pine Creek,There is a large berm on river right near the campground and it continues about 300 yards downstream. Strange split/diversion near base of meadow and highway. Willows present in upper meadow but go away around cabin and lower meadow. 
Shoestring Draw Meadow Assessment,,Shoestring Draw Meadow,UCDSNM016416,"Thursday, March 26, 2015",19,Yes,American Rivers,1704,0,,Lassen National Forest,Natural Condition,,Moderately Impacted,,,Slightly Impacted,,Moderately Impacted,Slightly Impacted,Slightly Impacted,Yes,It looks like there has been an effort to stabilize a headcut in the meadow. ,Yes,4,Yes,Yes,No,No,No,No,,No,No,Yes,No,No,Yes,Yes,No,Yes,No,6,0.01,No,No,40.68535,-121.01514,Pine Creek,Headcuts at the bottom of meadow threaten much of the lower meadow. A long ditch running through the meadow might be changing the hydrology of the meadow and dewater a long stretch of the lower meadow. 
