STA,Station Name,River Basin,County,lon_X,lat_Y,Elev_ft,Operator,Flow_EH_2
DWS,SACRAMENTO DEEP WATER SHIPPING CHANNEL,SACRAMENTO R,YOLO,-121.66667,38.25611,0,US Geological Survey,E
EBM,EASTSIDE BYPASS BLW MARIPOSA BYPASS,SAN JOAQUIN R,MERCED,-120.6981,37.205,115,CA Dept of Water Resources/SJ District,E
EBY,ELK BAYOU,TULE R,TULARE,-119.356306,36.124929,248,Kaweah Delta Water Conservation District,E
ECC,ELIZABETH CANYON CK,SANTA CLARA R,LOS ANGELES,-118.556,34.576,1680,"CA Dept of Water Resources, Southern Div",E
ECK,ELEANOR CK NR HETCH HETCHY,TUOLUMNE R,TUOLUMNE,-119.8821259,37.96908951,4500,US Geological Survey,E
ECP,ELDER CREEK NEAR PASKENTA,SACRAMENTO R,TEHAMA,-122.5119476,40.02376556,718,US Geological Survey,E
EDB,ELDERBERRY CANYON CK,SANTA CLARA R,LOS ANGELES,-118.62362,34.52335,1554,"CA Dept of Water Resources, Southern Div",E
ELF,SANTA CLARA R AT E LA FALDA WY NR PIRU,SANTA CLARA R,VENTURA,-118.739143,34.403526,710,US Geological Survey,E
ELN,EASTSIDE BYPASS NEAR EL NIDO,SAN JOAQUIN R,MERCED,-120.6053,37.1475,100,CA Dept of Water Resources,E
EST,ESTRELLA RIVER NEAR ESTRELLA,SALINAS R,SAN LUIS OBISPO,-120.639,35.717,672,USGS and DWR,E
FAL,FALSE RIVER,DELTA,CONTRA COSTA,-121.6669,38.0558,0,US Geological Survey,E
FAR,TRUCKEE RIVER AT FARAD,TRUCKEE R,NEVADA,-120.0340881,39.42796326,5153,US Geological Survey,E
FBL,FEATHER RIVER AT BOYD'S LANDING,FEATHER R,SUTTER,-121.611,39.045,50,Sutter County,E
FCK,FISH CANYON CK,SANTA CLARA R,LOS ANGELES,-118.66083,34.60306,1647,"CA Dept of Water Resources, Southern Div",E
FFB,SAN JOAQUIN R AT FREMONT FORD BRIDGE,SAN JOAQUIN R,MERCED,-120.9310379,37.30994034,65,US Geological Survey,E
FHH,FALLS CK NR HETCH HETCHY,TUOLUMNE R,TUOLUMNE,-119.7633,37.9708,5350,City and County of San Francisco PUC,E
FHL,FRESNO R ABV HENLEY LAKE,FRESNO R,MADERA,-119.8561,37.1506,540,US Army Corps of Engineers,E
FPT,SACRAMENTO RIVER AT FREEPORT,SACRAMENTO R,SACRAMENTO,-121.5,38.45,0,US Geological Survey,E
FRE,SACTO R AT FREMONT WEIR (CREST 33.5'),SACRAMENTO R,YOLO,-121.666389,38.759445,40,CA Dept of Water Resources/NCRO,E
FRU,FRESNO R LEWIS FORK NR OAKHURST,FRESNO R,MADERA,-119.6392,37.345,2295,CA Dept of Water Resources/SJ District,E
FSB,FEATHER R ABV STAR BEND,FEATHER R,SUTTER,-121.611,39.045,50,CA Dept of Water Resources/NCRO,E
FSN,SAN DIEGO RIVER AT FASHION VALLEY,SAN DIEGO R,SAN DIEGO,-117.1686478,32.76504898,30,San Diego County,E
FSW,EEL RIVER AT FORT SEWARD,EEL R,HUMBOLDT,-123.6325302,40.21820068,320,USGS and DWR,E
GES,SACRAMENTO RIVER BELOW GEORGIANA SLOUGH,SACRAMENTO R,SACRAMENTO,-121.5234,38.2389,0,US Geological Survey,E
GLC,GRANTLINE CANAL (USGS),SAN JOAQUIN R,SAN JOAQUIN,-121.5485,37.8196,10,US Geological Survey,E
GLE,GRANT LINE CANAL EAST,SAN JOAQUIN R,SAN JOAQUIN,-121.4348562,37.820258,6,CA Dept of Water Resources/NCRO,E
GRF,SAN JOAQUIN RIVER AT GRAVELLY FORD,SAN JOAQUIN R,FRESNO,-120.16,36.798,170,US Bureau of Reclamation,E
GRJ,GUADALUPE R ABV HWY 101 AT SAN JOSE,GUADALUPE R,SANTA CLARA,-121.9330139,37.37382889,72,US Geological Survey,E
GRL,FEATHER RIVER NEAR GRIDLEY,FEATHER R,BUTTE,-121.6475,39.3667,92,CA Dept of Water Resources/O & M,E
GRY,SISQUOC RIVER AT GAREY,SISQUOC R,SANTA BARBARA,-120.1682053,34.83970261,354,US Geological Survey,E
GSS,GEORGIANA SLOUGH AT SACRAMENTO RIVER,SACRAMENTO R,SACRAMENTO,-121.518,38.237,10,US Geological Survey,E
GVC,GRASS VALLEY CK NR LEWISTON,TRINITY R,TRINITY,-122.8611374,40.68653488,1680,US Geological Survey,E
GYB,N YUBA R BLW GOODYEARS BAR,YUBA R,SIERRA,-120.9380035,39.52489471,2453,US Geological Survey,E
H41,SAN JOAQUIN R AT HWY 41,SAN JOAQUIN R,MADERA,-119.7932,36.8762,260,US Bureau of Reclamation,E
HAC,RUSSIAN RIVER NEAR HACIENDA BRIDGE,RUSSIAN R,SONOMA,-122.9277725,38.50852203,20,USGS and DWR,E
HCB,HAT CK BLW HAT CK,HAT CR,SHASTA,-121.5523071,40.86252213,3284,CA Dept of Water Resources,E
HCN,HAT CK NR HAT CK,HAT CR,SHASTA,-121.4227829,40.6891098,4274,CA Dept of Water Resources,E
HEA,RUSSIAN RIVER NEAR HEALDSBURG,RUSSIAN R,SONOMA,-122.83638,38.6132431,108,USGS and DWR,E
HIB,MERCED R AT HAPPY ISLES BR NR YOSEMITE,MERCED R,MARIPOSA,-119.5587769,37.73159409,4016,US Geological Survey,E
HLT,MIDDLE RIVER NEAR HOLT,SAN JOAQUIN R,SAN JOAQUIN,-121.5108,38.0031,0,US Geological Survey,E
HMC,SACRAMENTO R AT HAMILTON CITY-MAIN CH,SACRAMENTO R,GLENN,-121.997879,39.75092316,145,CA Dept of Water Resources/O & M,E
HOL,HOLLAND CUT NEAR BETHEL ISLAND,SAN JOAQUIN R,SAN JOAQUIN,-121.5819,38.0164,0,US Geological Survey,E
HOP,RUSSIAN RIVER NEAR HOPLAND,RUSSIAN R,MENDOCINO,-123.1305618,39.02656174,498,USGS/USACE,E
HPA,TRINITY RIVER AT HOOPA,TRINITY R,HUMBOLDT,-123.6736679,41.04985046,330,USGS and DWR,E
HWB,MINER SLOUGH AT HWY 84 BRIDGE,SACRAMENTO R,SOLANO,-121.6308,38.2917,0,US Geological Survey,E
ICD,INDIAN CK NR DOUGLAS CITY,TRINITY R,TRINITY,-122.9133,40.6519,1670,US Geological Survey,E
ICR,INDIAN CREEK BELOW INDIAN FALLS,FEATHER R,PLUMAS,-120.962,40.056,3100,CA Dept of Water Resources,E
IGO,CLEAR CREEK NR IGO,SACRAMENTO R,SHASTA,-122.5241776,40.51320648,673,US Geological Survey,E
IHC,INDIAN CREEK NEAR HAPPY CAMP,KLAMATH R,SISKIYOU,-123.38311,41.83512497,1198,US Geological Survey,E
INC,INDEPENDENCE CREEK NEAR TRUCKEE,TRUCKEE R,SIERRA,-120.9612427,40.05543518,6920,US Geological Survey,E
INV,INDIAN VALLEY,CACHE CR,LAKE,-122.533,39.083,1502,Yolo County Flood Control and Water Consv Dist,E
IST,SACRAMENTO RIVER AT I STREET BRIDGE,SACRAMENTO R,SACRAMENTO,-121.504,38.589,27,CA Dept of Water Resources/NCRO,E
JBP,JAMES BYPASS,SAN JOAQUIN R,FRESNO,-120.18,36.653,170,San Luis Delta-Mendota Water Authority,E
JED,SMITH R NR CRESCENT CITY (JED SMITH SP),SMITH R,DEL NORTE,-124.0761871,41.79150391,120,USGS and DWR,E
JTR,JONES TRACT,DELTA,SAN JOAQUIN,-121.5182,37.9224,-19,CA Dept of Water Resources/NCRO,E
KCK,KELSEY CK BLW KELSEYVILLE,SACRAMENTO R,LAKE,-122.8392181,39.00839996,1345,CA Dept of Water Resources,E
KIG,KLAMATH RIVER BELOW IRON GATE DAM,KLAMATH R,SISKIYOU,-122.444191,41.92791748,2162,US Geological Survey,E
KNK,KLAMATH RIVER NEAR KLAMATH,KLAMATH R,DEL NORTE,-123.9795151,41.51095581,60,US Geological Survey,E
KRD,"KERN R BL KERN CYN PH DIV DAM, KE-16",KERN R,KERN,-118.7804,35.4602,2100,"Pacific Gas and Electric Company, Auberry",E
KRT,KINGS R NR TRIMMER,KINGS R,FRESNO,-119.1408,36.8747,942,US Army Corps of Engineers,E
KSV,KLAMATH RIVER NEAR SEIAD VALLEY,KLAMATH R,SISKIYOU,-123.2322769,41.85373688,1320,US Geological Survey,E
KWK,KESWICK (WATER QUALITY),SACRAMENTO R,SHASTA,-122.444458,40.60098267,596,CA Dept of Water Resources,E
LAB,LITTLE TRUCKEE R ABV BOCA RESERVOIR,TRUCKEE R,NEVADA,-120.0843658,39.43574142,5619,US Geological Survey,E
LCH,LINDO CHANNEL NR CHICO,SACRAMENTO R,BUTTE,-121.8688965,39.74916077,183,CA Dept of Water Resources,E
LDC,LITTLE DRY CREEK (USBR),SAN JOAQUIN R,FRESNO,-119.683,36.942,350,US Bureau of Reclamation,E
LEG,SOUTH FORK EEL RIVER AT LEGGETT,EEL R,MENDOCINO,-123.7205811,39.87459564,747,USGS and DWR,E
LGC,LOS GATOS CREEK NEAR COALINGA,LOS GATOS CR (NEAR COALINGA),FRESNO,-120.4707108,36.2146759,1080,US Geological Survey,E
LGN,TUOLUMNE R BLW LA GRANGE DAM NR LA GRANG,TUOLUMNE R,STANISLAUS,-120.4421387,37.6663208,170,US Geological Survey,E
LIB,LIBERTY ISLAND @ APPROX CNTR S END,SACRAMENTO R,SOLANO,-121.6849,38.2421,0,US Geological Survey,E
LIS,YOLO BYPASS AT LISBON,SACRAMENTO R,YOLO,-121.587,38.475,0,CA Dept of Water Resources,E
LLC,LOS LAURELES CANYON,SANTA YNEZ R,SANTA BARBARA,-119.8648605,34.54360199,788,US Geological Survey,E
LPS,LITTLE POTATO SLOUGH AT TERMINOUS,SAN JOAQUIN R,SAN JOAQUIN,-121.4961,38.0964,0,US Geological Survey,E
LRT,LITTLE RIVER NEAR TRINIDAD,EEL R,HUMBOLDT,-124.081459,41.00984955,18,US Geological Survey,E
LTK,LITTLE TRUCKEE R BL BOCA RES,TRUCKEE R,NEVADA,-120.0954742,39.38685226,5500,US Geological Survey,E
LWS,LEWISTON (WATER QUALITY),TRINITY R,TRINITY,-122.8036346,40.71931076,1830,US Geological Survey & US Bureau of Reclamation,E
MAL,SACRAMENTO RIVER AT MALLARD ISLAND,SACRAMENTO R,CONTRA COSTA,-121.919,38.044,0,"CA Dept of Water Resources, DES",E
MBB,MERCED RIVER NEAR BRICEBURG,MERCED R,MARIPOSA,-119.9781,37.5989,1150,Merced Irrigation District,E
MBH,MERCED R BLW CROCKER-HUFFMAN DAM,MERCED R,MERCED,-120.37,37.515,294,Merced Irrigation District,E
MBK,KINGS RIVER AT MEADOWBROOK,KINGS R,FRESNO,-118.862,37.081,8150,"Pacific Gas and Electric Company, Auberry",E
MBN,MERCED R AT SHAFFER BRIDGE NR CRESSY,MERCED R,MERCED,-120.60778,37.45417,117,Merced Irrigation District,E
MC7,MCCLOUD RIVER BELOW MCCLOUD DAM,MC CLOUD R,SHASTA,-122.064163,41.122349,2400,Pacific Gas & Electric,E
MCA,MCCLOUD R AT AH-DI-NA,MC CLOUD R,SHASTA,-122.0967,41.1105,2130,Pacific Gas & Electric,E
MCD,MCCLOUD RIVER NEAR MCCLOUD,MC CLOUD R,SISKIYOU,-122.059,41.186,2711,Pacific Gas & Electric,E
MCH,MILL CREEK BELOW HWY 99,SACRAMENTO R,TEHAMA,-122.1046295,40.04005814,230,CA Dept of Water Resources,E
MCU,MIDDLE CK NR UPPER LAKE,SACRAMENTO R,LAKE,-122.9118423,39.18255234,1360,CA Dept of Water Resources,E
MDM,MIDDLE RIVER AT MIDDLE RIVER,DELTA,SAN JOAQUIN,-121.534,37.943,10,US Geological Survey,E
MEN,SAN JOAQUIN RIVER NEAR MENDOTA,SAN JOAQUIN R,FRESNO,-120.3782272,36.81050491,170,US Geological Survey,E
MER,FEATHER RIVER AT MERRIMAC,FEATHER R,BUTTE,-121.27,39.709,1560,CA Dept of Water Resources/O & M,E
MFP,MIDDLE FORK FEATHER RIVER NEAR PORTOLA,FEATHER R,PLUMAS,-120.4448776,39.81895065,4850,CA Dept of Water Resources,E
MFR,MORRISON CREEK AT FLORIN ROAD,SACRAMENTO R,SACRAMENTO,-121.4527283,38.4985199,20,US Geological Survey,E
MHB,COSUMNES RIVER AT MICHIGAN BAR,COSUMNES R,SACRAMENTO,-121.0452194,38.50018692,168,USGS and DWR,E
MLM,MILL CREEK NR LOS MOLINOS,SACRAMENTO R,TEHAMA,-122.0241547,40.05460358,385,US Geological Survey,E
MLW,SACTO R AT MOULTON WEIR (CREST 76.8'),SACRAMENTO R,COLUSA,-122.0226288,39.33821106,85,CA Dept of Water Resources,E
MMF,MERCED RIVER BELOW MERCED FALLS,MERCED R,MERCED,-120.331,37.522,310,Merced Irrigation District,E
MOD,TUOLUMNE RIVER AT MODESTO,TUOLUMNE R,STANISLAUS,-120.9879913,37.62687683,90,US Geological Survey,E
MOK,MOKELUMNE R @ SAN JOAQUIN RIVER,MOKELUMNE R,SAN JOAQUIN,-121.5711,38.1061,0,US Geological Survey,E
MPS,MERIDIAN PUMPS,SACRAMENTO R,SUTTER,-121.918,39.148,50,Sutter County,E
MRB,SAN JOAQUIN R AT MAZE RD BRIDGE,SAN JOAQUIN R,STANISLAUS,-121.2276,37.6414,39,CA Dept of Water Resources,E
MRD,EEL RIVER SF NR MIRANDA (AT SYLVANDALE),EEL R,HUMBOLDT,-123.7761459,40.18180847,218,USGS and DWR,E
MRE,MATTOLE RIVER NEAR ETTERSBURG,MATTOLE R,HUMBOLDT,-123.9914246,40.13930893,626,US Geological Survey,E
MRF,MAD R ABV RUTH RESERVOIR NR FOREST GLEN,MAD R,TRINITY,-123.3353043,40.2843132,2700,US Geological Survey,E
MRU,MIDDLE RIVER AT UNDINE ROAD,SAN JOAQUIN R,SAN JOAQUIN,-121.386,37.8339,0,CA Dept of Water Resources/NCRO,E
MRY,YUBA RIVER NEAR MARYSVILLE,YUBA R,YUBA,-121.5249634,39.17572403,88,US Geological Survey,E
MSD,SAN JOAQUIN RIVER AT MOSSDALE BRIDGE,SAN JOAQUIN R,SAN JOAQUIN,-121.306,37.786,31,"CA Dept of Water Resources, DES",E
MSG,MUD SLOUGH NR GUSTINE,SAN JOAQUIN R,MERCED,-120.9056,37.2625,70,US Geological Survey,E
MSN,MERCED RIVER NEAR SNELLING,MERCED R,MERCED,-120.451,37.502,260,CA Dept of Water Resources,E
MSS,MCCLOUD RIVER ABOVE SHASTA LAKE,MC CLOUD R,SHASTA,-122.219,40.958,1100,Pacific Gas & Electric,E
MST,MERCED RIVER NEAR STEVINSON,MERCED R,MERCED,-120.931,37.371,82,CA Dept of Water Resources/SJ District,E
MTK,MARTIS CK NR TRUCKEE,TRUCKEE R,NEVADA,-120.1176987,39.32879639,5730,US Army Corps of Engineers,E
MTO,MF TUOLUMNE R NR OAKLAND REC CAMP,TUOLUMNE R,TUOLUMNE,-120.1081,37.8283,2800,City of San Francisco,E
MUC,MUD CREEK NEAR CHICO,SACRAMENTO R,BUTTE,-121.8867188,39.78335571,170,CA Dept of Water Resources,E
NAP,NAPA RIVER NEAR NAPA,NAPA R,NAPA,-122.3033066,38.36824417,25,USGS and DWR,E
NCO,N FK COTTONWOOD CK ABV LK AT BRDG NR ONO,COTTONWOOD CR,SHASTA,-122.6748428,40.53583527,2800,"CA Dept of Water Resources, Northern District",E
NEW,SAN JOAQUIN RIVER NEAR NEWMAN,SAN JOAQUIN R,MERCED,-120.97715,37.35049438,90,USGS and DWR,E
NFC,N FORK CACHE CREEK AT HOUGH SPRINGS,CACHE CR,LAKE,-122.6199875,39.16544724,1534,US Geological Survey,E
NFD,NF AMERICAN R AT NORTH FORK DAM,AMERICAN R,PLACER,-121.0238342,38.93600845,715,US Geological Survey,E
NFH,TRINITY R ABV NF TRINITY NR HELENA,TRINITY R,TRINITY,-123.1144791,40.7665329,1410,US Geological Survey,E
NFW,N FK WILLOW CK NR SUGAR PINE,SAN JOAQUIN R,MADERA,-119.5592,37.3978,5200,Madera Irrigation District,E
NKD,NF KINGS RIVER BLW DINKEY CREEK,KINGS R,FRESNO,-119.128,36.88,1035,Pacific Gas & Electric,E
NMR,NORTH MOKELUNME R @ W WALNUT GROVE RD,MOKELUMNE R,SAN JOAQUIN,-121.5071,38.2232,0,US Geological Survey,E
NRN,NAVARRO RIVER NEAR NAVARRO,NAVARRO RIVER,MENDOCINO,-123.6680679,39.17045593,5,US Geological Survey,E
NSL,NATIONAL STEEL,SACRAMENTO R,SOLANO,-121.8881,38.1221,0,"CA Dept of Water Resources, DES",E
NTR,NF TRINITY RIVER AT HELENA,TRINITY R,TRINITY,-123.127,40.782,1345,US Geological Survey & US Bureau of Reclamation,E
NYS,N YUBA R. ABV SLATE CK NR STRAWBERRY,YUBA R,YUBA,-121.0906,39.5247,2000,Yuba County Water Agency,E
OBB,STANISLAUS R AT ORANGE BLOSSOM BRIDGE,STANISLAUS R,STANISLAUS,-120.75,37.783,117,CA Dept of Water Resources,E
OBI,OLD RIVER AT BACON ISLAND (USGS),DELTA,SAN JOAQUIN,-121.571114,37.970001,10,US Geological Survey,E
OCL,ORESTIMBA CK AT RIVER RD NR CROWS LNDG,SAN JOAQUIN R,STANISLAUS,-121.0160446,37.41354752,65,US Geological Survey,E
ODM,OLD RIVER AT DELTA MENDOTA CANAL,DELTA,SAN JOAQUIN,-121.541,37.81,10,US Geological Survey,E
OH1,OLD RIVER AT HEAD,SAN JOAQUIN R,SAN JOAQUIN,-121.329,37.808,15,CA Dept of Water Resources,E
OH4,OLD RIVER AT HIGHWAY 4,DELTA,CONTRA COSTA,-121.569168,37.891109,10,US Geological Survey,E
OKN,O'KANE (BLUE LAKE),REDWOOD CR,HUMBOLDT,-123.8153381,40.9059639,850,USGS and DWR,E
OLD,OLD RIVER NEAR TRACY,DELTA,SAN JOAQUIN,-121.449,37.805,5,CA Dept of Water Resources/O & M,E
OLS,KLAMATH RIVER AT ORLEANS,KLAMATH R,HUMBOLDT,-123.5345001,41.30345917,430,USGS and DWR,E
ORD,SACRAMENTO R AT ORD FERRY-MAIN CHANNEL,SACRAMENTO R,GLENN,-121.9931793,39.62813187,115,CA Dept of Water Resources,E
ORE,ORESTIMBA CREEK NR NEWMAN,SAN JOAQUIN R,STANISLAUS,-121.125206,37.31549072,0,US Geological Survey,E
ORI,OLD RIVER AT CLIFTON COURT INTAKE,SAN JOAQUIN R,CONTRA COSTA,-121.5526,37.828,0,CA Dept of Water Resources/NCRO,E
ORK,REDWOOD CREEK AT ORICK,REDWOOD CR,HUMBOLDT,-124.0511856,41.2992897,36,USGS and DWR,E
ORQ,OLD RIVER @ QUIMBLY IS NEAR BETHEL IS,SAN JOAQUIN R,SAN JOAQUIN,-121.5645,38.0272,0,US Geological Survey,E
ORX,OLD RIVER ABOVE DOUGHTY CUT,SAN JOAQUIN R,SAN JOAQUIN,-121.386576,37.810997,8,CA Dept of Water Resources/NCRO,E
