name,league,rank,prev_rank,off,def,spi
Kalmar FF,Swedish Allsvenskan,416,413,0.9,1.7,27.1
Halmstads BK,Swedish Allsvenskan,417,414,0.9,1.7,27.1
IK Sirius,Swedish Allsvenskan,418,415,1.2,2.1,27.0
Aalesund,Norwegian Tippeligaen,419,419,1.1,2.1,26.3
Haugesund,Norwegian Tippeligaen,420,421,0.9,1.8,26.2
Sevilla Atletico,Spanish Segunda Division,421,418,0.8,1.7,26.2
Ternana,Italy Serie B,422,410,1.1,2.0,26.0
Jonkopings Sodra IF,Swedish Allsvenskan,423,422,0.8,1.6,25.8
Kilmarnock,Scottish Premiership,424,424,0.9,1.8,25.8
La Hoya Lorca,Spanish Segunda Division,425,426,1.0,1.9,25.5
Pro Vercelli,Italy Serie B,426,425,0.9,1.9,25.5
GFC Ajaccio,French Ligue 2,427,427,0.8,1.6,25.3
Burton Albion,English League Championship,428,432,0.8,1.8,25.0
Niort,French Ligue 2,429,423,0.9,1.9,24.8
Karabükspor,Turkish Turkcell Super Lig,430,416,0.8,1.7,24.6
DC United,Major League Soccer,431,429,0.9,1.9,24.6
Orlando City SC,Major League Soccer,432,430,0.9,1.9,24.5
Odd BK,Norwegian Tippeligaen,433,431,0.8,1.7,24.2
Ascoli,Italy Serie B,434,433,0.7,1.7,24.1
US Quevilly,French Ligue 2,435,440,0.8,1.9,23.9
GIF Sundsvall,Swedish Allsvenskan,436,434,0.8,1.9,23.5
Motherwell,Scottish Premiership,437,441,0.8,1.9,23.5
Los Angeles Galaxy,Major League Soccer,438,435,0.9,2.0,23.3
Minnesota United FC,Major League Soccer,439,437,0.9,2.1,22.4
Sandefjord,Norwegian Tippeligaen,440,438,0.9,2.1,22.4
Viking FK,Norwegian Tippeligaen,441,439,0.9,2.1,22.1
San Jose Earthquakes,Major League Soccer,442,442,0.8,2.0,21.4
Colorado Rapids,Major League Soccer,443,444,0.6,1.8,20.5
Ross County,Scottish Premiership,444,445,0.8,2.1,20.0
Vasby United,Swedish Allsvenskan,445,446,0.7,2.0,20.0
St. Pölten,Austrian T-Mobile Bundesliga,446,443,0.7,2.0,18.9
Hamilton Academical,Scottish Premiership,447,447,0.8,2.1,18.9
Sparta,Dutch Eredivisie,448,453,0.7,2.1,17.7
Bourg-Peronnas,French Ligue 2,449,449,0.9,2.5,17.2
Dundee,Scottish Premiership,450,450,0.6,2.0,17.1
Partick Thistle,Scottish Premiership,451,448,0.6,1.9,16.9
Tours,French Ligue 2,452,452,0.6,2.0,16.4
St Johnstone,Scottish Premiership,453,451,0.5,1.9,15.7
